samb01,samb02,samb03,samb04,samb05,samb06,samb07,samb08,samb09,samb10,samb11,samb12,samb13,samb14,samb15,samb16,samb17,samb18,samb19,gender,age,id,semester,ethnic,SAmb_tot
0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,20.63,2082,9,1,6
0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,NA,2084,9,NA,9
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.21,2085,9,1,2
0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,18.42,2086,9,1,9
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,18.56,2087,9,1,2
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,18.39,2088,9,1,3
0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,18.69,2101,9,1,13
0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,18,2102,9,1,9
0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,18.93,2103,9,1,8
0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,18.59,2104,9,2,9
0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,18.57,2105,9,1,7
0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,18.76,2106,9,6,10
0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,19.56,2107,9,1,7
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,28.35,2108,9,2,4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,18,2109,9,1,2
1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,18.17,2111,9,1,10
0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,18.33,2112,9,1,11
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,18.13,2113,9,1,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.33,2114,9,1,1
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,18.46,2115,9,1,4
0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,18,2116,9,1,5
0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,18.17,2118,9,1,9
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19.08,2119,9,1,1
1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,18.49,2121,9,1,13
